priority,shipping_cost,customer_name,ship_mode,customer_segment,product_category,product_subcategory,product_container,product_name,country,state_region,order_date,ship_date,quantity,unit_price,discount,sales,profit
Not Specified,5.41,Wesley Corbett,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,Eldon® 200 Class™ Desk Accessories,United States,Texas,02/14/2015,02/16/2015,11,6.28,0.04,72.77,-19.9576
Critical,5.29,Gloria Jacobs,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon® 200 Class™ Desk Accessories  Burgundy,United States,New York,03/11/2015,03/12/2015,2,6.28,0.09,14.08,-10.09
Critical,5.29,Curtis O'Connell,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon® 200 Class™ Desk Accessories  Burgundy,United States,Oregon,05/04/2015,05/04/2015,1,6.28,0.09,8.53,-5.2
Not Specified,5.41,Julie Edwards,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,Eldon® 200 Class™ Desk Accessories,United States,Illinois,02/14/2015,02/16/2015,43,6.28,0.04,284.48,-38.38
Medium,5.41,Kevin Smith,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Eldon® 200 Class™ Desk Accessories,United States,Illinois,02/02/2015,02/04/2015,14,6.28,0.09,88.85,-32.0268
Medium,5.41,Arlene Long,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Eldon® 200 Class™ Desk Accessories,United States,California,02/02/2015,02/04/2015,56,6.28,0.09,355.4,-61.59
Not Specified,5.36,Joe George,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,GBC Standard Plastic Binding Systems' Combs,United States,Louisiana,01/20/2015,01/23/2015,6,6.28,0.05,38.04,1.278
Low,0.5,Jeff Meadows,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 48,United States,Kentucky,01/27/2015,02/01/2015,12,6.3,0.1,68.72,-464.282
High,0.5,Helen H Murphy,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 51,United States,Utah,01/12/2015,01/13/2015,10,6.3,0.05,59.85,41.2965
Low,0.5,Gene Gilliam,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 51,United States,Georgia,05/30/2015,05/30/2015,20,6.3,0.07,121.87,4.1674
Low,0.5,Laurie Howe,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 51,United States,Minnesota,01/31/2015,01/31/2015,10,6.3,0.09,58.48,40.3512
Critical,0.5,Mildred Chase,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 48,United States,California,04/17/2015,04/17/2015,11,6.3,0.07,65.09,44.9121
Critical,0.5,Seth Matthews,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 48,United States,Michigan,06/09/2015,06/11/2015,15,6.3,0.04,97.98,67.6062
Medium,1.02,Dwight Bishop,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,Telephone Message Books with Fax/Mobile Section  5 1/2  x 3 3/16 ,United States,Texas,05/20/2015,05/23/2015,13,6.35,0.04,79.62,54.9378
Medium,1.02,Maxine Collier Grady,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,Telephone Message Books with Fax/Mobile Section  5 1/2  x 3 3/16 ,United States,Texas,05/20/2015,05/23/2015,52,6.35,0.04,318.47,81.91
Critical,1.02,Elisabeth Massey,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,Telephone Message Books with Fax/Mobile Section  5 1/2  x 3 3/16 ,United States,Arizona,03/11/2015,03/13/2015,22,6.35,0.01,141.54,97.6626
Low,1.02,Tina Evans,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,Telephone Message Books with Fax/Mobile Section  5 1/2  x 3 3/16 ,United States,Illinois,01/15/2015,01/20/2015,12,6.35,0.04,75.61,52.1709
Medium,5.19,Lynne Griffith,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,C-Line Peel & Stick Add-On Filing Pockets  8-3/4 x 5-1/8  10/Pack,United States,Maryland,02/28/2015,03/02/2015,15,6.37,0,99.75,-27.1492
Critical,5.19,Gregory Rao,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,C-Line Peel & Stick Add-On Filing Pockets  8-3/4 x 5-1/8  10/Pack,United States,California,02/01/2015,02/02/2015,14,6.37,0.03,89.79,-29.0927
Medium,5.19,Michael Robbins,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,C-Line Peel & Stick Add-On Filing Pockets  8-3/4 x 5-1/8  10/Pack,United States,Texas,02/10/2015,02/11/2015,6,6.37,0.06,37.7,-48.2195
Low,1.34,Jackie Flynn,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,Wirebound Four 2-3/4 x 5 Forms per Page  400 Sets per Book,United States,Massachusetts,01/26/2015,01/31/2015,9,6.45,0.06,57.14,39.4266
Low,1.34,Clarence Crowder,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,Wirebound Four 2-3/4 x 5 Forms per Page  400 Sets per Book,United States,Washington,01/14/2015,01/19/2015,9,6.45,0.03,56.71,39.1299
Critical,1.22,Jenny Gold,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Staples Pen Style Liquid Stix; Assorted (yellow  pink  green  blue  orange)  5/Pack,United States,California,06/06/2015,06/07/2015,30,6.47,0.02,193.95,40.2
Low,6.81,Thomas Spence,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1930,United States,Idaho,02/10/2015,02/15/2015,14,6.48,0.08,92.29,-49.1868
Not Specified,9.17,Tammy Goldman,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1996,United States,Utah,01/10/2015,01/11/2015,4,6.48,0.02,28.2,-105.6852
Medium,7.03,Ross Frederick,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 214,United States,Texas,05/15/2015,05/16/2015,10,6.48,0.08,67.86,8.93200000000001
Not Specified,6.6,Douglas Buck,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 21,United States,Washington,01/20/2015,01/22/2015,10,6.48,0.02,66.71,-92.05
Not Specified,5.9,Alexandra Wise,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1976,United States,Indiana,06/10/2015,06/10/2015,19,6.48,0.1,116.8,-51.635
Medium,7.37,Vickie Morse,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 210,United States,Maryland,03/13/2015,03/14/2015,5,6.48,0.06,32.39,-75.44
High,8.4,Jenny Petty,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 212,United States,New Hampshire,04/01/2015,04/03/2015,21,6.48,0.05,136.99,-226.3464
High,6.35,Alicia Curtis,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 200,United States,Washington,03/21/2015,03/22/2015,8,6.48,0.09,49.81,-88.6
Low,5.14,Clara Kaplan,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 23,United States,Ohio,06/23/2015,06/25/2015,10,6.48,0.01,67.41,-26.936
Not Specified,9.68,Holly Pate,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1993,United States,Oklahoma,06/21/2015,06/22/2015,16,6.48,0.09,99.92,-204.16
Low,6.86,Eileen Riddle,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 204,United States,Utah,03/06/2015,03/08/2015,8,6.48,0.09,50.88,-62.23
Low,5.14,Cheryl Guthrie,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 23,United States,Utah,03/28/2015,03/30/2015,19,6.48,0.02,126.66,-48.68
Low,5.16,Dana Burgess,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1985,United States,Indiana,02/26/2015,03/02/2015,12,6.48,0.04,86.79,-11.1332
Critical,8.88,Sharon Ellis,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 224,United States,Minnesota,03/06/2015,03/07/2015,20,6.48,0.06,125.77,-237.47
Not Specified,5.11,Sandy Ellington,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 231,United States,Nevada,05/20/2015,05/22/2015,18,6.48,0,127.81,-33.31
High,7.86,Francis Sherrill,Express Air,Home Office,Office Supplies,Paper,Small Box,Xerox 213,United States,North Carolina,06/12/2015,06/13/2015,1,6.48,0.02,11.41,111.222
Critical,6.22,Kristina Collier,Express Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1894,United States,Michigan,02/10/2015,02/11/2015,9,6.48,0.01,69.46,-15.6312
Critical,6.22,Kyle Kaufman,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1894,United States,Ohio,04/28/2015,04/29/2015,3,6.48,0.05,21.46,-29.07
Critical,9.17,Kate Lehman,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1996,United States,Maryland,03/11/2015,03/13/2015,6,6.48,0.09,42.16,-76.54
Medium,6.6,Charlotte L Doyle,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 21,United States,Florida,02/04/2015,02/05/2015,9,6.48,0.03,58.83,-145.852
High,2.74,Dan Lamm,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,Sony MFD2HD Formatted Diskettes  10/Pack,United States,North Carolina,05/09/2015,05/09/2015,15,6.48,0.05,94.27,15.096
Low,5.4,Joseph Hurst,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 207,United States,Pennsylvania,03/25/2015,03/25/2015,2,6.48,0.01,14.29,-18.85
Not Specified,5.14,Joy Kaplan McNeill,Express Air,Home Office,Office Supplies,Paper,Small Box,Xerox 23,United States,California,03/19/2015,03/21/2015,10,6.48,0.06,68.34,-28.45
Critical,7.49,Cathy Simon,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 220,United States,Iowa,04/04/2015,04/04/2015,12,6.48,0.06,74.93,-191.49
Medium,5.74,Leigh Burnette Hurley,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1994,United States,Illinois,06/06/2015,06/06/2015,20,6.48,0.07,134.58,-28.45
Medium,5.74,Alfred Barber,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1994,United States,Missouri,06/06/2015,06/06/2015,5,6.48,0.07,33.65,-14.225
Critical,7.86,James Davenport,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 213,United States,Missouri,01/29/2015,01/31/2015,10,6.48,0.01,66.46,-135.74
Critical,7.49,Faye Silver,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 220,United States,Maryland,03/30/2015,04/02/2015,13,6.48,0.08,80.86,-119.32
Not Specified,5.14,Jacob McNeill,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 23,United States,New York,06/04/2015,06/05/2015,13,6.48,0.05,92.16,-22.56
Medium,7.91,Debbie Dillon,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 216,United States,Georgia,05/29/2015,05/31/2015,2,6.48,0.02,16.5,-1191.526
High,7.03,Melanie Morrow,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 214,United States,Minnesota,06/29/2015,07/01/2015,16,6.48,0.09,96.96,-126.208
High,8.73,Troy Casey,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 227,United States,Minnesota,01/03/2015,01/05/2015,2,6.48,0.03,15.95,-35.04
High,8.73,Lucille Gibbons,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 227,United States,New York,01/03/2015,01/05/2015,8,6.48,0.03,63.78,-35.04
Medium,7.91,Rhonda Bryant,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 216,United States,Florida,03/13/2015,03/14/2015,16,6.48,0.05,109.99,322.122
Medium,8.74,Alfred Harmon,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1984,United States,Connecticut,06/05/2015,06/07/2015,1,6.48,0.02,10.72,-6.835
Not Specified,9.54,Frances Holt,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1905,United States,Massachusetts,06/15/2015,06/17/2015,19,6.48,0.04,125.37,-223.944
Low,9.54,Edna Freeman,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1905,United States,Virginia,04/19/2015,04/19/2015,1,6.48,0.07,10.86,2.232
Medium,6.57,Eugene H Walsh,Express Air,Home Office,Office Supplies,Paper,Small Box,Xerox 20,United States,Wisconsin,02/28/2015,02/28/2015,18,6.48,0.01,127.83,-46.5244
Critical,7.37,Erika Clapp,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 210,United States,Tennessee,05/01/2015,05/03/2015,18,6.48,0.01,122.8,-449.694
Low,8.19,Kelly Byers,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 217,United States,Oregon,01/31/2015,02/07/2015,3,6.48,0,22.67,-43.26
Low,2.74,Laurence Simon,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,Sony MFD2HD Formatted Diskettes  10/Pack,United States,Missouri,05/10/2015,05/12/2015,18,6.48,0.08,113.68,-82.64
Low,5.11,Dana Boyle,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 231,United States,Ohio,05/24/2015,05/28/2015,8,6.48,0.02,56.22,-23.53
Critical,8.73,Andrew Gonzalez,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 227,United States,North Carolina,05/09/2015,05/09/2015,35,6.48,0.05,232.5,-160.3847
Critical,8.73,Stuart Sharma,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 227,United States,Ohio,05/09/2015,05/09/2015,9,6.48,0.05,59.79,-120.59
High,10.05,Betty Giles,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1997,United States,Minnesota,02/13/2015,02/15/2015,2,6.48,0,16.31,-38.72
Low,6.81,Maurice Everett,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1930,United States,California,02/10/2015,02/15/2015,58,6.48,0.08,382.33,-94.59
High,5.19,Jordan Beard,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1995,United States,Kansas,06/06/2015,06/07/2015,12,6.48,0,84.04,-14.075
Critical,5.9,Lawrence Hester,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1976,United States,Kentucky,03/20/2015,03/21/2015,13,6.48,0.02,90.98,4.392
Critical,5.9,Alexander O'Brien,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1976,United States,Texas,03/20/2015,03/21/2015,53,6.48,0.02,370.91,-50.64
Medium,8.19,Leslie Jacobson,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 217,United States,Arizona,02/12/2015,02/15/2015,9,6.48,0.05,58.5,-164.18
Not Specified,6.86,Bob Gibson,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 204,United States,Michigan,03/06/2015,03/08/2015,4,6.48,0.05,27.08,-52.77
High,8.4,Constance Robertson,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 212,United States,Florida,05/07/2015,05/07/2015,7,6.48,0.08,45,58.812
Medium,5.27,Danny Hong,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones® Four-Pocket Poly Binders,United States,Utah,03/30/2015,04/01/2015,21,6.54,0.07,140.3,-66.0445
Medium,4.95,Carrie McIntosh,Express Air,Consumer,Furniture,Office Furnishings,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,United States,Florida,01/06/2015,01/08/2015,5,6.64,0.05,34.17,-92.9292
Critical,54.95,Edwin Chung,Regular Air,Small Business,Furniture,Office Furnishings,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,United States,Massachusetts,03/24/2015,03/26/2015,4,6.64,0.1,25.31,-25
High,6.93,Bernard Thompson,Regular Air,Corporate,Office Supplies,Paper,Small Box,HP Office Paper (20Lb. and 87 Bright),United States,North Carolina,06/12/2015,06/13/2015,14,6.68,0.06,91.92,7.6245
Not Specified,4.91,Leslie Shannon,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1986,United States,Montana,01/06/2015,01/08/2015,7,6.68,0.01,51.03,-15.48
Low,4.91,Bonnie Matthews Rowland,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1986,United States,Florida,04/18/2015,04/25/2015,5,6.68,0.04,41.22,-14.3241
Medium,6.93,Grace Black,Regular Air,Small Business,Office Supplies,Paper,Small Box,HP Office Paper (20Lb. and 87 Bright),United States,Florida,03/28/2015,03/29/2015,11,6.68,0.05,77.2,-2.35200000000001
Critical,1.5,Paige Mason,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Sanford Liquid Accent Highlighters,United States,Virginia,03/26/2015,03/28/2015,10,6.68,0.08,66.12,-601.804
Low,6.92,Bonnie Chambers,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1898,United States,Arizona,05/14/2015,05/21/2015,16,6.68,0.07,104.84,-141.12
High,5.66,Gayle Pearson,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1923,United States,Massachusetts,02/27/2015,02/28/2015,23,6.68,0,157.78,-40.0088
High,5.66,Erin Ballard,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1923,United States,California,02/27/2015,02/28/2015,90,6.68,0,617.4,-76.94
Low,4.91,Sean Burton,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1986,United States,Michigan,04/18/2015,04/25/2015,1,6.68,0.04,8.24,-11.6316
Medium,6.93,Larry Langston,Regular Air,Corporate,Office Supplies,Paper,Small Box,HP Office Paper (20Lb. and 87 Bright),United States,South Carolina,02/04/2015,02/07/2015,3,6.68,0.1,21.56,-100.072
Not Specified,1.5,Sean Pugh,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Sanford Liquid Accent Highlighters,United States,Florida,04/12/2015,04/13/2015,7,6.68,0.03,48.32,-577.304
Medium,5.66,Constance Flowers,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1923,United States,California,02/07/2015,02/09/2015,46,6.68,0.05,320.93,-66.48
Low,1.56,Tony Chandler,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Turquoise Lead Holder with Pocket Clip,United States,Texas,02/12/2015,02/12/2015,5,6.7,0.08,31.21,10.56
High,1.56,Nathan Wyatt,Express Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Turquoise Lead Holder with Pocket Clip,United States,Washington,02/07/2015,02/09/2015,12,6.7,0.06,79.39,40.6556
Critical,1.72,Caroline Stone,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,Memo Book  100 Message Capacity  5 3/8” x 11”,United States,Illinois,03/01/2015,03/03/2015,15,6.74,0.1,98.17,65.41
High,2.99,Lynn Hines,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones DublLock® D-Ring Binders,United States,Maryland,03/29/2015,03/29/2015,15,6.75,0.1,96.13,18.1475
Medium,8.37,Eileen McDonald,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme Design Line 8  Stainless Steel Bent Scissors w/Champagne Handles  3-1/8  Cut,United States,Utah,03/22/2015,03/24/2015,1,6.84,0.08,8.39,-29.49
Low,8.37,Jerome McIntosh,Regular Air,Consumer,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme Design Line 8  Stainless Steel Bent Scissors w/Champagne Handles  3-1/8  Cut,United States,Texas,06/01/2015,06/08/2015,13,6.84,0.09,87.1,-88.585
Not Specified,8.37,Rhonda Schroeder,Regular Air,Consumer,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme Design Line 8  Stainless Steel Bent Scissors w/Champagne Handles  3-1/8  Cut,United States,Kansas,01/23/2015,01/24/2015,5,6.84,0,37.89,-123.1816
Medium,2,Kristina Sanders,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,Adams Phone Message Book  200 Message Capacity  8 1/16” x 11”,United States,Utah,01/28/2015,01/29/2015,9,6.88,0,66.88,46.1472
Critical,2,Geoffrey Rivera,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,Adams Phone Message Book  200 Message Capacity  8 1/16” x 11”,United States,Virginia,06/16/2015,06/16/2015,5,6.88,0,36,-15.61
Medium,2,Heather Stern,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,Adams Phone Message Book  200 Message Capacity  8 1/16” x 11”,United States,Connecticut,02/26/2015,02/27/2015,5,6.88,0.1,31.46,18.42
Medium,2,Kristine Connolly,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,Adams Phone Message Book  200 Message Capacity  8 1/16” x 11”,United States,California,01/28/2015,01/29/2015,36,6.88,0,267.53,34.068
High,9.69,Debra Batchelor,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Eldon Shelf Savers™ Cubes and Bins,United States,Idaho,03/05/2015,03/07/2015,15,6.98,0.03,109.15,-262.62
High,2.83,Henry O'Connell,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,G.E. Halogen Desk Lamp Bulbs,United States,Texas,04/05/2015,04/07/2015,5,6.98,0.04,35.97,24.8193
Medium,1.6,Sheryl Marsh,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,Adams Phone Message Book  Professional  400 Message Capacity  5 3/6” x 11”,United States,Texas,05/25/2015,05/26/2015,3,6.98,0.01,21.93,0.346
High,2.83,Lois Hansen,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,G.E. Halogen Desk Lamp Bulbs,United States,New York,04/05/2015,04/07/2015,18,6.98,0.04,129.48,46.01
Low,1.6,Sharon Thomas,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,Adams Phone Message Book  Professional  400 Message Capacity  5 3/6” x 11”,United States,Georgia,01/22/2015,01/29/2015,12,6.98,0.06,83.93,-98.056
Not Specified,1.6,Crystal Crabtree,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,Adams Phone Message Book  Professional  400 Message Capacity  5 3/6” x 11”,United States,Florida,01/31/2015,02/02/2015,9,6.98,0,64.48,-343.868
Medium,2.17,Rhonda Ivey,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,Wirebound Message Books  2 7/8  x 5   3 Forms per Page,United States,Pennsylvania,01/15/2015,01/17/2015,2,7.04,0.06,14.65,2.4852
Not Specified,2.35,Kimberly Reilly,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Major Accent™ Highlighters,United States,Texas,04/10/2015,04/11/2015,7,7.08,0.04,49.1,24.59
Medium,2.35,Marguerite Rodgers,Express Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Major Accent™ Highlighters,United States,New York,03/29/2015,03/30/2015,13,7.08,0.07,93.82,30.49
Medium,6.05,Stacy Byrne,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Hanging View Binder  White  1 ,United States,Ohio,02/12/2015,02/13/2015,4,7.1,0.06,29.99,-42.1705
Low,6.05,Jamie Manning,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Hanging View Binder  White  1 ,United States,Illinois,01/07/2015,01/09/2015,8,7.1,0.02,61.5,-48.875
Medium,6.05,Hazel Jennings,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Hanging View Binder  White  1 ,United States,Pennsylvania,02/16/2015,02/17/2015,28,7.1,0,208.83,-60.145
Not Specified,6.05,Dennis Boykin Townsend,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Hanging View Binder  White  1 ,United States,New Mexico,01/20/2015,01/20/2015,9,7.1,0.02,66.32,-66.378
Low,6.05,Stacey Lucas,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Hanging View Binder  White  1 ,United States,Iowa,01/06/2015,01/06/2015,14,7.1,0.05,100.99,-101.246
Not Specified,6.05,Debbie Hsu,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Hanging View Binder  White  1 ,United States,Washington,06/24/2015,06/25/2015,18,7.1,0.01,133.19,-39.18625
Medium,11.15,Larry Langston,Regular Air,Corporate,Office Supplies,Paper,Small Box,Array® Parchment Paper  Assorted Colors,United States,South Carolina,02/04/2015,02/05/2015,6,7.28,0.01,48.88,136.0314
Medium,11.15,Melvin Duke,Regular Air,Corporate,Office Supplies,Paper,Small Box,Array® Parchment Paper  Assorted Colors,United States,Indiana,04/11/2015,04/13/2015,1,7.28,0.01,11.21,-24.246
Critical,1.77,Annie Horne,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,Post-it® “Important Message” Note Pad  Neon Colors  50 Sheets/Pad,United States,Florida,02/05/2015,02/05/2015,7,7.28,0,53.42,167.16
High,3.52,Marlene Phillips,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,Imation 3.5  DS-HD Macintosh Formatted Diskettes  10/Pack,United States,Connecticut,06/10/2015,06/10/2015,3,7.28,0,24.44,-25.104
Medium,5.47,Lawrence Haas,Regular Air,Corporate,Office Supplies,Paper,Small Box,Southworth Structures Collection™,United States,Florida,02/13/2015,02/13/2015,12,7.28,0.1,83.14,167.334
Critical,11.15,Janice Boswell,Express Air,Small Business,Office Supplies,Paper,Small Box,Array® Parchment Paper  Assorted Colors,United States,Florida,04/13/2015,04/14/2015,1,7.28,0.08,14.66,-44.415
High,7.72,Peggy Lanier,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Angle-D Binders with Locking Rings  Label Holders,United States,California,03/15/2015,03/18/2015,14,7.3,0.03,103.61,-127.052
High,0.49,Jonathan Crabtree,Regular Air,Corporate,Office Supplies,Labels,Small Box,Self-Adhesive Address Labels for Typewriters by Universal,United States,Illinois,02/15/2015,02/16/2015,12,7.31,0.1,79.74,55.0206
Low,0.49,Tony Chandler,Regular Air,Small Business,Office Supplies,Labels,Small Box,Self-Adhesive Address Labels for Typewriters by Universal,United States,Texas,02/12/2015,02/21/2015,4,7.31,0.1,27.63,19.0647
Not Specified,5.96,Robert Cowan,Regular Air,Consumer,Office Supplies,Paper,Small Box,1/4 Fold Party Design Invitations & White Envelopes  24 8-1/2  X 11  Cards  25 Env./Pack,United States,Colorado,04/29/2015,04/30/2015,1,7.35,0.03,13.16,-11.1132
High,5.53,Max Small,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,Imation 3.5  Unformatted DS/HD Diskettes  10/Box,United States,Oklahoma,01/16/2015,01/18/2015,11,7.37,0.03,85.79,-133.7
Not Specified,5.53,Lynne Wilcox,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,Imation 3.5  Unformatted DS/HD Diskettes  10/Box,United States,South Carolina,05/16/2015,05/16/2015,38,7.37,0.1,269.33,290.202
Not Specified,5.21,Katherine Kearney,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon® Expressions™ Wood Desk Accessories  Oak,United States,California,06/17/2015,06/18/2015,9,7.38,0.09,66.55,-27.16
High,11.51,Kathryn Wolfe,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC Plastic Binding Combs,United States,New York,04/04/2015,04/05/2015,2,7.38,0,17.64,-66.171
Not Specified,5.21,Eva Simpson,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon® Expressions™ Wood Desk Accessories  Oak,United States,Texas,03/29/2015,03/30/2015,3,7.38,0.02,24.52,7.74
Critical,6.28,James Davenport,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Acco Four Pocket Poly Ring Binder with Label Holder  Smoke  1 ,United States,Missouri,01/29/2015,02/01/2015,8,7.45,0.1,59.4,-69.874
Medium,4,Bobby Clements,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Master Giant Foot® Doorstop  Safety Yellow,United States,Ohio,03/17/2015,03/19/2015,15,7.59,0.07,111.88,24.39
